,title,details
144, Axess opet akaryakıt kampanyası 40 TL hediye 1 Ekim – 15 Kasım 2017, Axess kredi kartı sahiplerine özel Opet akaryakıt kampanyası kapsamında farklı günlerde yapılacak 100 TL ve üzeri 4 alışverişte 40 TL değerinde chip para kazanma fırsatı sunuluyor. Kampanya 1 Ekim – 15 Kasım 2017 tarihleri arasında kampanyaya dahil OPET/ SUNPET istasyonlarında...
145, Bonus kart BP akaryakıt kampanyası 1 Ekim – 15 Kasım 2017, Bonus kredi kartı sahipleri ÜYE BP akaryakıt istasyonlarından farklı günlerde yapacakları 4 adet 100 TL ve üzeri harcamada 30 TL değerinde bonus kazanacak. Kampanyaya 1 Ekim - 15 Kasım 2017 tarihleri arasında bonus flaş uygulaması üzerinden katılabilirsiniz. Sms ile başvurularda 25...
146, TEB bonus Bp akaryakıt kampanyası 25 TL indirim 1 Ekim – 15 Kasım 2017, TEB Bonus kredi kartı sahipleri BP akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4 adet alışverişte 25 TL indirim kazanacak. Kampanya 1 Ekim - 15 Kasım 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları  Kampanya 1 Ekim – 15 Kasım 2017 tarihleri arasında...
147, Paraf Petrol ofisi kampanyası 4×100’e 50 TL hediye 1 Ekim – 15 Kasım 2017, Paraf kredi kartı sahipleri üye Petrol ofisi akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4. harcamalarında 50 TL değerinde paraf para kazanacak. Kampanya 1 Ekim - 15 Kasım 2017 tarihleri arasında geçerli olacaktır.  Kampanyaya katılmak için PO yazıp 3404’e mesaj gönderilmelidir.  Ödül...
148, Hopi Bp kampanyası 50 paracık hediye Eylül 2017," BP Eylül ayına özel kampanyasında Hopililere özel 50 paracık hediye ediyor. Bp Hopi kampanyası kapsamında bu ay
5-30 Eylül 2017 tarihleri arasında BP istasyonlarından QR kod veya dinamik koddan oluşan HOPİ kimliği tanıtılarak yapılacak 500 TL ve üzeri akaryakıt alımlarında 50..."
149, Carrefour 150 TL harcamaya 15 TL Shell yakıt hediye kampanyası, Carrefour marketlerden 150 TL ve üzeri alışveriş yapanlar Shell akaryakıt istasyonlarından 15 TL değerinde hediye yakıt kazanacak. Kampanya kapsamında hediye yakıt için Carrefour kart ve Shell club smart kart gereklidir.  Kampanya 18 Ağustos-18 Eylül 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları  Bu...
150, Bonus kart Shell akaryakıt kampanyası 16 Ağustos – 30 Eylül 2017, Bonus kredi kartı sahipleri ÜYE Shell akaryakıt istasyonlarından farklı günlerde ve tek seferde yapacakları 4 adet 100 TL ve üzeri alışverişte 30 TL değerinde bonus kazanacak. Kampanyaya bonus flaş üzerinden katılmalısınız. Diğer başvurularda 25 TL bonus verilecektir.  Kampanya 16 Ağustos -...
151, Petrol ofisi world kart kampanyası 50 TL indirim 16 Ağustos -30 Eylül 2017, World kredi kartı sahipleri ÜYE Petrol Ofisi akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 100 TL ve üzeri 4 adet alışverişte 50 TL ekstre indirimi kazanacak. Kampanyaya yapı kredi cüzdan ile katılmalısınız. Diğer başvurularda 30 TL indirim verilecektir.  Kampanya 16...
152, Axess Total akaryakıt kampanyası 50 TL hediye 16 Ağustos – 30 Eylül 2017, Axess kredi kartı sahipleri anlaşmalı ÜYE Total akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 100 TL ve üzeri 4 adet alışverişte 50 TL değerinde chip para kazanacak. Kampanyada kazanılan chip paralar yine Total'de kullanılabilecektir.  Kampanya 16 Ağustos – 30 Eylül...
153, Maximum kart opet sunpet akaryakıt kampanyası 16 Ağustos-30 Eylül 2017, Maximum kredi kartı sahipleri Opet ve Sunpet akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 100 TL üzeri 4 adet harcamada 50 TL değerinde maxi puan kazanacak. Kazanılan puanlar sadece opet ve sunpet istasyonlarında geçerli olacak.  Kampanyaya maximum mobil üzerinden katılmalısınız....
154, Petrol ofisi maximum kart öde geç kampanyası %3 indirim," Maximum kredi kartı sahipleri Petrol ofisi akaryakıt istasyonlarından öde geç sistemi ile yapacakları harcamalarda anında %3 indirimden yararlanacak. Kampanya 14 Kasım 2017 tarihine kadar geçerli olacaktır.  Kampanya Ayrıntıları
1. Kampanyadan yararlanılabilmesi için harcamaların Maximum Mobil Öde-Geç ile yapılması gerekmektedir, uygulama üzerinden yapılmayan..."
155, Gratis 75 TL alışverişe 10 TL opet yakıt hediye 1-31 Ağustos 2017, Gratis mağazalarında kampanyalar sürüyor. Gratis'ten 75 TL ve üzeri alışveriş yaparak Opet'ten 10 TL değerinde yakıt puan kazanabilirsiniz. Gratis Opet kampanyası 1-31 Ağustos 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları  Tüm Gratis Mağazalarında  Gratis kart ile tek seferde 75 TL ve...
156, Total akaryakıt maximum kart kampanyası 16 Temmuz – 15 Ağustos 2017, Maximum kredi kartı sahipleri Total akaryakıt istasyonlarından farklı günlerde yapacakları 3 adet 100 TL alışverişte 40 TL değerinde maxi puan kazanacak. Kampanyaya 16 Temmuz 2017- 15 Ağustos 2017 tarihleri arasında maximum mobil uygulamasından katılabilirsiniz. Sms ile başvurularda 30 TL kazanacaksınız.  Kazanılan...
157, Axess Petrol ofisi kampanyası 16 Temmuz – 15 Ağustos 2017, Axess kredi kartı sahipleri Petrol ofisi akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 3 adet 100 TL ve üzeri alışverişlerde 30 TL değerinde chip para hediye edilecektir. Kampanya 16 Temmuz - 15 Ağustos 2017 tarihleri arasında geçerli olacaktır. Kazanılan...
158, Aytemiz otogaz 15 TL hediye kampanyası 5 Temmuz – 20 Ağustos 2017, Aytemiz akaryakıt istasyonlarından aytemiz kart ile tek seferde ve farklı günlerde yağacağınız 45 TL ve üzeri 3 adet harcamada 15 TL değerinde yakıt puan hediye edilecektir.  Kampanya 5 Temmuz - 20 Ağustos tarihleri arasında geçerli olacaktır. Aytemiz Kart sahiplerinin; ONAY yazıp...
159, Axess mtv kampanyası 1-31 Temmuz 2017, Axess kredi kartından beklenen mtv kampanyası gelmedi. Axess 2017 Temmuz mtv kampanyası kapsamında yapacağınız ödemelerde 3 taksit kolaylığı sizleri bekliyor. Kampanya 1 - 31 Temmuz 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları  01 Temmuz - 31 Temmuz 2017 tarihleri gib.com.tr veya...
160, Bonus Opet kampanyası 4×100’e 50 TL hediye 1 Temmuz – 15 Ağustos 2017, Bonus kredi kartı sahipleri Opet akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 4 adet 100 TL ve üzeri alışverişte 50 TL bonus kazanacak. Kampanyaya bonus flaş üzerinden katılabilirsiniz. SMS başvurularında 40 TL bonus hediye edilecektir.  Kampanya 1 Temmuz – 15 Ağustos...
161, BP akaryakıt world kart kampanyası 4×100’e 50 TL indirim 1 Temmuz – 15 Ağustos, World kredi kartı sahipleri üye BP akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 100 TL üzeri 4 adet alışverişte 50 TL ekstre indirim kampanyasından yararlanacak. Kampanyaya Yapı kredi cüzdan uygulaması üzerinden katılmayan world kart sahiplerine 30 TL indirim yapılacak.  Kampanya 1...
162, Opet akaryakıt arabalar 3 filmine bilet hediye kampanyası," Opet akaryakıt istasyonlarından Arabalar 3 filmi için cinemaximum sinema salonu biletinizi satın alabilirsiniz. Kampanya kapsamında 1 bilet alana ikinci bilet hediye edilecektir.  Kampanya 16 Temmuz 2017 tarihine kadar devam edecektir. Hediye edilen film aynı seansta kullanılabilecektir.     Kampanya Ayrıntıları
Kampanya Akaryakıt alım şartına bağlı değildir..."
163, Axess Shell akaryakıt kampanyası 15 Haziran – 15 Temmuz 2017, Axess kredi kartı sahipleri ÜYE Shell akaryakıt istasyonlarından farklı günlerde yapacakları 75 TL ve üzeri 4 adet alışverişte 30 TL değerinde chip para kazanacak. Kampanya bu ay 15 Haziran – 15 Temmuz 2017 tarihleri arasında geçerli olacaktır.  Kampanya katılımı için alışveriş...
164, Gordion Avm 300 TL alışverişe 30 TL Petrol ofisi yakıt hediye," Gordion AVM Ramazan ayına özel kampanyasında, avm içerisinde bulunan mağazalardan yapacağınız 300 TL ve üzeri alışverişlerde Petrol ofisi akaryakıt istasyonlarında geçerli 30 TL değerinde yakıt kart hediye ediyor.  10 Haziran tarihinden itibaren Gordion'dan tek seferde yapacağınız 300 TL ve üzeri alışverişlerinizde..."
165, İnci akü alana 25 TL opet yakıt hediye kampanyası, İnci Akü alanlara özel kampanya kapsamında opet akaryakıt istasyonlarında geçerli 25 TL değerinde hediye yakıt fırsatı sizleri bekliyor. Kampanya 30 Haziran 2017 tarihine kadar geçerli olacaktır. Kampanya İnci marka 42 Ah-102 Ah arasında Akü alımlarında geçerlidir.  Kampanya Ayrıntıları  5 Haziran - 30...
166, Opet akaryakıt mobil ödeme kampanyası 10 kat puan hediye, Opet akaryakıt istasyonlarında mobil ödeme sistemini kullananlara 10 kat yakıt puan kazanıyor. Opet mobil ödeme kampanyası bu ay 2- 30 Haziran 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları   30 Haziran 2017’ye kadar Opet mobil ödeme sistemine dahil istasyonlardan Opet Mobil Uygulaması’nı...
167, BP hopi kampanyası 25 TL hediye 1 Haziran – 7 Temmuz 2017, BP akaryakıt istasyonlarında Hopililere özel kampanya kapsamında toplamda 350 TL ve üzeri alışverişlerde 25 TL değerinde paracık kazanacak. Üstelik yıl boyunca yapılacak her akaryakıt alışverişinde %3 değerinde paracık hediye edilecek.  Kampanya 1 Haziran- 7 Temmuz 2017 tarihleri arasında BP istasyonlarından yapılacak alışverişlerde...
168, Maximum kart Petrol ofisi kampanyası 1 Haziran – 15 Temmuz 2017," Maximum kredi kartı sahipleri Petrol ofisi akaryakıt istasyonlarından yapacakları 4 adet 100 TL harcamada 30 TL, mobil öde geç sistemi ile yapacakları 4 adet 100 TL harcamada 50 TL maxi puan kazanacak. Kampanya 1 Haziran – 15 Temmuz 2017 tarihleri..."
169, Aygaz otogaz world kart kampanyası 4×50’ye 25 TL indirim, World kredi kartı sahipleri Aygaz ve Mogaz otogaz istasyonlarından farklı günlerde yapacakları 4 adet 50 TL alışverişte bir sonraki 25 TL ve üzeri otogaz alışverişlerinde geçerli 25 TL indirim fırsatından yararlanacak. Kampanya 30 Haziran 2017 tarihine kadar devam edecek. 1-10...
170, Petrol Ofisi lpg kampanyası 20 TL hediye 15 Mayıs – 21 Haziran 2017, Petrol Ofisi akaryakıt istasyonlarında kampanyalar sürüyor. Petrol Ofisi yeni LPG kampanyası kapsamında positive card ile İzmir petrol ofisi istasyonlarından yapılacak belirtilen tarihler arası toplamda 250 TL ve üzeri LPG alanlara özel 20 TL değerinde lpg veya benzin hediye ediyor. Kampanya...
171, Paraf kart Total akaryakıt kampanyası 50 TL hediye 16 Mayıs-30 Haziran 2017, Paraf kredi kartı sahipleri Total akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4 adet akaryakıt alımında 50 TL paraf para hediye edilecek. Kampanya Paraf üyesi istasyonlarda geçerli olacaktır.  Kampanya katılımı için TOTAL yazıp 3404’e mesaj gönderilmelidir.  Ödül kazanımına ilişkin bilgi...
172, World kart Opet akaryakıt 4×100’e 50 TL indirim 16 Mayıs – 30 Haziran, World kredi kartı sahipleri ÜYE Opet ve Sunpet akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4 adet alışverişte 50 TL ekstre indirim fırsatı sunulacak. Kampanya 16 Mayıs - 30 Haziran 2017 tarihleri arasında geçerli olacaktır. 1-10 Temmuz 2017 tarihleri...
173, Opet sevgi deposu çekiliş kampanyası 50 TL yakıt hediye," Opet akaryakıt firması çekiliş kampanyalarına devam ediyor. Yeni sevgi deposu kampanyası kapsamında trafikte gördüğünüz güzel hareketleri göndererek çekilişe katılarak 50 TL yakıt kazanacak 1000 kişiden biri de siz olabilirsiniz.  Kampanya Ayrıntıları
Opet Resmi web sitesinden duyurulacak ve www.opet.com.tr/sevgideposu internet sitesi üzerinden gerçekleştirilecek..."
174, Shell anneler günü  kampanyası 2017, Shell 2017 anneler günü kampanyası kapsamınıda herkese nazar boncuklu lavanta keseleri hediye edecek. Akaryakıt devi 14 Mayıs 2017 Pazar günü yakıt alım şartı olmadan seçili istasyonlarını ziyaret eden herkese küçük ama şık bir anneler günü hediyesi fırsatı sunacak.  Mis kokulu annelerimize...
175, Aytemiz akaryakıt kampanyası 2017, Aytemiz akaryakıt istasyonlarında 2017 yılına özel çekiliş kampanyasında muhteşem hediyeler kazanma şansı sizleri bekliyor. Aytemiz 15 Haziran 2017 tarihine kadar Aytemiz kart sahiplerine Suzuki Vitara 1.6 GL+ 4X2 MT otomobil ve pek çok ödül kazanma şansı sunacak.  Anlaşmalı Aytemiz istasyonlarından Aytemiz Kart...
176, Petrol ofisi bonus kart kampanyası 40 TL hediye 16 Nisan – 31 Mayıs," Bonus kredi kartı sahipleri Petrol Ofisi akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 100 TL ve üzeri 4. alışverişlerinde 40 TL bonus kazanacaktır. Kampanyaya bonus flaş uygulması üzerinden 16 Nisan – 31 Mayıs 2017 tarihleri arasında katılabilirsiniz.  Kampanya Ayrıntıları  Kazanılan bonus,..."
177, BP akaryakıt maximum kart kampanyası 30 TL hediye 16 Nisan – 31 Mayıs, Maximum kredi kartı sahipleri ÜYE BP akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 80 TL ve üzeri 4. alışverişlerinde 30 TL değerinde maxi puan kazanacak. Kampanyaya maximum mobil uygulaması üzerinden 16 Nisan – 31 Mayıs tarihleri arasında katılabilirsiniz.  Kampanya Ayrıntıları  1. İlave...
178, Total lpg kampanyası 60 TL alımda 6 TL hediye, Total akaryakıt istasyonlarında kampanyalar sürüyor. Total yeni kampanyasında Club TOTAL Card sahiplerine özel 60 TL lpg alımında 6 TL bedava lpg fırsatı sunuyor. Kampanya 25 Mayıs 2017 tarihine kadar devam edecektir.  sahipleri tek seferde yapacakları 60 TL ve üzeri LPG alımlarında...
179, Shell world kart kampanyası 50 TL indirim 7 Nisan – 15 Mayıs 2017, World kredi kartı sahipleri ÜYE Shell akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4 adet akaryakıt alışverişinde 50 TL ekstre indirim fırsatından yararlanacak. Kampanya 7 Nisan - 15 Mayıs 2017 tarihleri arasında geçerli olacaktır.  Kampanyaya yapı kredi cüzdan uygulaması üzerinden...
180, Opet paraf kart kampanyası 50 TL hediye 1 Nisan-15 Mayıs 2017, Paraf ve Parafly kredi kartı sahipleri Opet ve Sunpet akaryakıt istasyonlarından farklı günlerde yapılacak 100 TL ve üzeri 4. harcamada 50 TL değerinde paraf para hediye edilecektir. Kampanya 1 Nisan-15 Mayıs 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları  Kampanyaya katılmak için harcama yapmadan...
181, Shell world kart kampanyası 4×100’e 50 TL indirim, World kredi kartı sahipleri ÜYE Shell akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4 adet harcamada sonraki ödemelerinde kullanabileceği 50 TL indirim fırsatından yararlanacak. Kampanya 15 Mayıs 2017 tarihine kadar devam edecektir. Yapı kredi cüzdan üzerinden kampanyaya katılabilirsiniz.  Yapı...
182, Shell mobil uygulama çekiliş kampanyası 2017," Shell akaryakıt istasyonlarında kampanyalar sürüyor. Shell mobil uygulama üzerinden çekilişe katılarak 100.000 TL yakıt puan hediye kazanabilirsiniz. Shell App Store ve Play Store’dan akıllı telefonunuza ya da tabletinize Shell Mobil uygulamayı indirin, Uygulamada yer alan kampanya sayfasından Shell akaryakıt istasyonlarından bedelsiz..."
183, Opet Mart 2017 çekilişi 2000 kişiye 200.000 TL hediye," Opet akaryakıt istasyonlarından yapacağınız her 75 TL ödemede 1 çekiliş hakkı kazanarak Mart 2017 kampanyası kapsamında hediye yakıt puan kazanan 2000 kişiden biri olabilirsiniz. Toplamda çekiliş sonucu 200.000 TL hediye yakıt verilecektir.  Çekiliş sonucu 50 kişi 1.000 TL’lik, 100 kişi 500..."
184, BP bonus kart kampanyası 4×100’e 40 TL hediye 1 Mart – 15 Nisan, Bonus kredi kartı sahipleri ÜYE BP akaryakıt istasyonlarından farklı günlerde yapacakları 100 TL ve üzeri 4 adet harcamada 40 TL değerinde bonus kazanacak. Kampanyaya bonus flaş üzerinden katılabilirsiniz. Sms ile katılımlarda 30 TL bonus hediye edilecek.  Kampanya 1 Mart – 15 Nisan...
185, BP facebook sayfasını beğen 5 TL kazan, BP facebook sayfasını beğenenlere özel 100 TL ve üzeri akaryakıt alımlarında geçerli 5 TL hediye ediliyor. Kampanya kapsamında BP Club üyesi olan BP istasyonlarından likeilecalisanpompa.bp.com üzerinden GSM numaraları ile kampanyaya katılanlar hediye kazanacak.  Kampanya 21 Şubat 2017 – 21 Mart 2017 tarihleri arasında...
186, Total mobil ödemede 75 TL ödemeye 25 TL indirim 20 Şubat – 31 Mart 2017, Total akaryakıt mobil ödeme kampanyasına devam ediyor. Yeni kampanyada 75 TL ve üzeri akaryakıt ödemenizi araçtan inmeden öderken 25 TL indirim kazanabilirsiniz. Mobil ödeme üyesi istasyonlarda 20 Şubat - 31 Mart 2017 tarihleri arasında geçerli olacak kampanyayı kaçırmayın!   Kampanyadan yararlanmak için Club...
187, Paraf Shell kampanyası 4×100’e 50 TL hediye 14 Şubat-31 Mart 2017, Paraf kredi kartı sahipleri Shell akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacağınız 100 TL ve üzeri 4 adet alışverişte 50 TL değerinde paraf para kazanacak. Kampanya 14 Şubat-31 Mart 2017 tarihleri arasında geçerli olacaktır.  Kampanya katılımı için SHELL yazıp boşluk bırakılarak...
188, Opet ido kampanyası %20 indirimli bilet fırsatı," Opet kart sahipleri ido deniz otobüslerinde feribot seferlerinde %20 indirim fırsatından yararlanacak. Kampanya 28 Şubat 2017 tarihine kadar sürecektir. Kampanyanın geçerli olduğu seferler;  Yenikapı-Bursa, Yenikapı-Bandırma, Yenikapı-Yalova, Pendik-Yalova  İndirimli biletinizi ido.com.tr internet sitesinden satın alabilirsiniz.  Kampanya Ayrıntıları  Kampanyaya katılmak isteyen OPET kart sahiplerinin, İDO..."
189, BP akaryakıt istasyonlarında hopi kampanyası %3 hediye, Hopililer kazanmaya devam ediyor. BP akaryakıt istasyonlarından yapacağını alışverişlerde %3 hediye paracık fırsatı sizleri bekliyor. Kampanya 27 Ağustos 2017 tarihine kadar devam edecektir.  Kampanya Detayı:  Hopi Üyesi BP istasyonlarında Hopi kimliği tanıtılarak yapılacak alışverişlerde geçerlidir.  Kampanyada şartları sağlanan fatura ile en fazla...
190, Petrol Ofisi 50 kişiye 5000 TL yakıt hediye, Petrol Ofisi akaryakıt istasyonlarından öde geç sistemi ile  araçtan inmeden kredi kartınızla yapacağınız ödeme sistemi ile benzin ve dizelde %3 indirimden yararlanabilirsiniz. Kampanya kapsamında öde geç ile 50 TL akaryakıt ve otogaz alarak 5000 TL yakıt kazanma şansı yakalayabilirsiniz.  20 Ocak...
191, Teb bonus Total akaryakıt kampanyası 30 TL hediye 13 Ocak – 28 Şubat, TEB Bonus kredi kartı sahipleri bonus üyesi Total akaryakıt istasyonlarından farklı günlerde ve tek seferde yapacakları 100 TL ve üzeri 4 adet alışverişte 30 TL indirim kazanacak. Kampanya 13 Ocak – 28 Şubat 2017 tarihleri arasında geçerli olacaktır.  Kampanya Ayrıntıları  İndirim kazanan TEB...
192, Opet visa kart kampanyası 3×75’e 25 TL hediye, Visa özellikli banka kartınızla Opet akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacağınız 3 adet 75 TL ve üzeri harcamada 25 TL değerinde yakıt puan kazanma fırsatı sizleri bekliyor. Kampanya 15 Ocak - 15 Şubat 2017 tarihleri arasında geçerli olacaktır.  Kampanya...
193, Axess Bp akaryakıt kampanyası 16 Ocak – 28 Şubat 2017, Axess kredi kartı sahipleri ÜYE BP akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 100 TL ve üzeri 4 adet alışverişte 40 TL değerinde chip para kazanacak. Kampanya kapsamında kazanılan chip paralara yine BP istasyonlarında kullanılabilecek.  Kampanya 16 Ocak – 28 Şubat...
194, Total akaryakıt bonus kart kampanyası 4×100’e 40 TL hediye, Bonus kredi kartı sahipleri ÜYE Total akaryakıt istasyonlarından  farklı günlerde yapacakları 4 adet 100 TL ve üzeri alışverişte 40 TL değerinde bonus kazanacak. Kampanyaya bonus flaş uygulaması üzerinden 28 Şubat 2017 tarihine kadar katılabilirsiniz.  Kazanılan bonuslar 8-19 Mart 2017 tarihleri arasında...
195, Vestel 500 TL harcamaya 50 TL Shell yakıt hediye," Vestel Shell akaryakıt kampanyası kapsamında 50 TL hediye ediyor. Vestel'den 500 TL ve üzeri televizyon, beyaz eşya veya Venüs cep telefonu alışverişlerinde motorist mobil uygulaması üzerinden yapılacak katılımlarda 50 TL değerinde yakıt hediye fırsatı sunuluyor.  Kampanya 5 – 29 Ocak 2017 tarihleri..."
196, Maximum kart Aytemiz akaryakıt kampanyası 30 TL hediye, Maximum kredi kartı sahipleri 1 Ocak-14 Şubat 2017 tarihleri arasında Aytemiz akaryakıt istasyonlarından yapacakları 4 adet 75 TL ve üzeri harcamada 30 TL değerinde maxi puan kazanacak.  Kampanyaya katılmak için AYTEMİZ yazarak boşluk bırakın ve kartınızın son 6 hanesini 4402'ye gönderin.
197, Opet 2017 yeni yıl çekilişi 2000 kişiye 50 TL hediye," Opet akaryakıt istasyonlarında kampanyalar sürüyor. Opet 2017 yeni yıla özel çekiliş kampanyasında tam 2000 kişiye 50 TL değerinde yakıt hediye ediyor. Kampanya 6 Ocak 2017 tarihine kadar geçerli olacaktır. Çekilişe katılmak için opet.com.tr/yeniyollar linkinden başvuru yapabilirsiniz.  Kampanya Ayrıntıları
•    Opet Resmi web sitesinden..."
198, Total her 75 TL akaryakıt alımına 25 TL hediye kampanyası, Total'den harika bir akaryakıt kampanya haberi geldi. Total mobil uygulaması üzerinden BKM Express ile 75 TL ve üzeri yakıt alımınızda 25 TL akaryakıt indirim fırsatı sunulacak. Kampanya 19 Şubat 2017 tarihine kadar devam edecektir. Her müşteri 3 defa 25 TL...
199, Bp Hopi kampanyası 200 TL akaryakıta 50 TL hediye, Hopililer kazanmaya devam ediyor. BP akaryakıt istasyonlarında başlayan yeni kampanya kapsamında hopi kimliğinizi tanıtarak yapacağınız toplamda 200 TL ve üzeri yakıt alımlarında 50 TL'ye kadar paracık hediye edilecektir. Kampanya 20 Aralık - 15 Ocak 2017 tarihleri arasında geçerli olacaktır. Kazanılan...
200, Bp otogaz kampanyası 10 TL hediye 12 Aralık – 12 Ocak 2017, BP akaryakıt istasyonlarında kampanyalar sürüyor. Bp otogaz kampanyası kapsamında 12 Aralık – 12 Ocak 2017 tarihleri arasında BP club kart ile toplamda yapacağınız 150 TL ve üzeri otogaz alımında 10 TL değerinde hediye otogaz fırsatından yararlanacaksınız.  Kampanya Ayrıntıları  Kampanyaya  12 Aralık 2016...
201, Turkcell BP akaryakıt kampanyası 20 TL yakıt hediye 16 Kasım – 20 Aralık," Turkcell aboneleri sarı kutu puanları ile BP kampanyası kapsamında 300 TL yakıt alışverişinde 20 TL yakıt kazanıyor. Kampanya kapsamında BP Club kartla 16 Kasım – 20 Aralık tarihleri arasında yakıt alıp hediye kazanabilirsiniz.  Kampanya Ayrıntıları  Sarı Kutu üyesi iseniz BP Club Kartınızla, Sarı Kutudan bu hediyeyi..."
202, Opetten yolculuk önerisi yapan 1000 kişiye 50 TL yakıt hediye, Opet akaryakıt hediye kampanyalarına devam ediyor. Yeni Opet kampanyasında yolculuk nereye sayfasında yolculuk önerisi yapanlar arasından yapılan çekiliş sonucunda tam 1000 kişiye 50 TL değerinde akaryakıt hediye edilecektir. Kampanyaya katılmak için www.opet.com.tr/yolculuknereye adresinden formu doldurup çekilişe katılabilirsiniz.  Kampanya 5 Aralık 2016...
203, Petrol ofisi maximum kart kampanyası 40 TL hediye 16 Kasım – 31 Aralık, Maximum kredi kartı sahipleri ÜYE Petrol Ofisi istasyonlarından tek seferde ve farklı günlerde yapacakları 4 adet 100 TL ve üzeri alışverişte 40 TL değerinde maxi puan kazanacak. Kampanya kapsamında 16 Kasım - 31 Aralık  2016  tarihleri arasında kazanılacak maxi puanlar...
204, World kart Opet kampanyası 4×100’e 50 TL ekstre indirimi, World kredi kartı sahipleri üye Opet akaryakıt istasyonlarından tek seferde ve farklı günlerde yapacakları 4 adet 100 TL ve üzeri alışverişte 50 TL ekstre indirimi kazanacak. Kampanya katılımı yapı kredi cüzdan üzerinden yapılmalıdır. Sms ile başvurularda 30 TL indirim sağlanacaktır.  Kampanya...
205, Opet harf toplama kampanyasında hediye yakıt puan fırsatı," Opet akaryakıt istasyonlarında kampanyalar sürüyor. Opet her 100 TL alışverişinizde slipte 1 harf vererek OPET yazısını tamamlayanlara 20 TL değerinde yakıt puan hediye ediyor. Kampanya opet kart ile 5 Aralık 2016 tarihine kadar geçerli olacaktır.  Kampanya Ayrıntıları   Kampanya, 5 Kasım -..."
206, Europcar araç kiralamada Shell karta özel %45 indirim kampanyası, Shell kart sahiplerine özel harika bir kampanya haberimiz var. Europcar firmasından shell kart ile günlük araç kiralamada %45 indirim fırsatı sizleri bekliyor. Kampanya 31 Mart 2017 tarihine kadar devam edecektir.  Kampanya Ayrıntıları  Kampanya 20 Ekim 2016 - 31 Mart 2017 tarihleri...
207, Boyner ve Ykm 300 TL alışverişe 30 TL Shell yakıt hediye, Boyner ve Ykm mağazalarından ve internet satış sitelerinden Shell smart card ile yapacağınız tek seferlik 300 TL ve üzeri alışverişlerde 30 TL değerinde Shell yakıt fırsatı sizleri bekliyor. Kampanya 6 Kasım tarihine kadar devam edecektir.  Giyim alışverişi sonrası akaryakıt hediye kampanyasını...
208, Aygaz otogaz lpg dönüşümü yapanlara 100 TL hediye ediyor," Aygaz anlaşmalı servislerde lpg dönüşümü yaptıranlar aygaz otogazdan 100 TL hediye kazanıyor. Kampanya Aygaz dönüşümcü kulübü üyesi servislerden kampanya kodunuzu alarak ilk iki 50 TL’lik otogaz alımlarında anında kullanabilecekleri 5’er TL’lik indirim, toplam 1.800 TL’ye kadar her otogaz alımlarında %5..."
209, Petrol ofisi öde geç kampanyası %3 indirimli akaryakıt fırsatı," Petrol Ofisi yeni uygulamasında öde geç sistemi ile araçtan inmeden akaryakıt ödemelerinizi yapmanızı sağlıyor. Üstelik %3 indirim ile yakıtınızı alabilirsiniz.     ÖDEGEÇ’teki yenilikler Neler?  Yeni ÖDEGEÇ’te işlem öncesi müşterilerimizin kartlarından 200 TL’lik ön provizyon alıyoruz. Böylece artık tahsilat sorunu yaşamayacaksınız.
Eski uygulamamızda,..."
210, Chippin uygulamasını yükleyen herkese Opetten 10 TL yakıt hediye, Koç gurubunun alışveriş sadakat programı uygulaması Chippin uygulamasını mobil mağazalardan indirerek kuranlara Opet'ten 10 TL değerinde akaryakıt hediye kampanyası başladı. Kampanya kapsamında 31 Ekim'e kadar tüm sevdiklerinizi uygulamaya davet ederek onlarında 10 TL yakıt kazanmasını sağlayabilirsiniz.  İpucu: Yakıt hediyeni 2-30 Kasım...
